"Country","ISO","Sex","Year_of_birth","Mean_height","Mean_height_lower_95perc","Mean_height_upper_95perc"
"Brazil","BRA","Men",1896,163.213567,160.7956154,165.6625892
"Brazil","BRA","Men",1897,163.3087557,161.029938,165.6298994
"Brazil","BRA","Men",1898,163.4042513,161.243163,165.6073897
"Brazil","BRA","Men",1899,163.4995045,161.4754612,165.5754179
"Brazil","BRA","Men",1900,163.5947482,161.6909124,165.5618103
"Brazil","BRA","Men",1901,163.6903951,161.877228,165.5416075
"Brazil","BRA","Men",1902,163.7864296,162.0803881,165.5164147
"Brazil","BRA","Men",1903,163.8827002,162.2787618,165.5084208
"Brazil","BRA","Men",1904,163.9779878,162.4667076,165.5194838
"Brazil","BRA","Men",1905,164.0731421,162.6334052,165.5223939
"Brazil","BRA","Men",1906,164.1678707,162.7939842,165.5572454
"Brazil","BRA","Men",1907,164.2622664,162.9577418,165.5722361
"Brazil","BRA","Men",1908,164.3573934,163.1212142,165.6139628
"Brazil","BRA","Men",1909,164.4530824,163.2703253,165.6581425
"Brazil","BRA","Men",1910,164.549972,163.4307784,165.699268
"Brazil","BRA","Men",1911,164.6487843,163.5758752,165.7420687
"Brazil","BRA","Men",1912,164.7499118,163.7238845,165.7941506
"Brazil","BRA","Men",1913,164.8531393,163.8585222,165.8564226
"Brazil","BRA","Men",1914,164.9581481,163.9986499,165.932665
"Brazil","BRA","Men",1915,165.0649762,164.1310387,166.001044
"Brazil","BRA","Men",1916,165.173604,164.2659974,166.0823468
"Brazil","BRA","Men",1917,165.284823,164.4081981,166.1775562
"Brazil","BRA","Men",1918,165.3979855,164.5458242,166.2677217
"Brazil","BRA","Men",1919,165.5121502,164.6771269,166.3630181
"Brazil","BRA","Men",1920,165.6271986,164.8002234,166.4587706
"Brazil","BRA","Men",1921,165.7426248,164.9236431,166.5582637
"Brazil","BRA","Men",1922,165.8574898,165.0480645,166.6663492
"Brazil","BRA","Men",1923,165.9707458,165.1751493,166.7762611
"Brazil","BRA","Men",1924,166.0833987,165.2972591,166.8737439
